dataset,variable,label,type,core
ADVS,AVISIT,Analysis Visit,Char,Req
ADVS,AVISITN,Analysis Visit (N),Num,Req
ADVS,ADT,Analysis Date,Num,Req
ADVS,ADY,Analysis Relative Day,Num,Cond
ADVS,ATPT,Analysis Timepoint,Char,Cond
ADVS,ATPTN,Analysis Timepoint (N),Num,Cond
ADVS,DTYPE,Derivation Type,Char,Cond
ADVS,SAFFL,Safety Population Flag,Char,Req
ADVS,ONTRTFL,On Treatment Record Flag,Char,Cond
ADVS,ANL01FL,Analysis Flag 01,Char,Cond
ADVS,VSSEQ,Sequence Number,Num,Cond
ADVS,VSTESTCD,Vital Signs Test Code,Char,Cond
ADEG,STUDYID,Study Identifier,Char,Req
ADEG,USUBJID,Unique Subject Identifier,Char,Req
ADEG,TRTA,Actual Treatment,Char,Req
ADEG,TRTAN,Actual Treatment (N),Num,Req
ADEG,PARAMCD,Parameter Code,Char,Req
ADEG,PARAM,Parameter,Char,Req
ADEG,PARAMN,Parameter (N),Num,Cond
ADEG,PARCAT1,Parameter Category 1,Char,Cond
ADEG,AVAL,Analysis Value,Num,Req
ADEG,AVALC,Analysis Value (C),Char,Cond
ADEG,BASE,Baseline Value,Num,Cond
ADEG,CHG,Change from Baseline,Num,Cond
ADEG,PCHG,Percent Change from Baseline,Num,Cond
ADEG,ABLFL,Baseline Record Flag,Char,Req
ADEG,ANRLO,Analysis Normal Range Lower Limit,Num,Cond
ADEG,ANRHI,Analysis Normal Range Upper Limit,Num,Cond
ADEG,ANRIND,Analysis Reference Range Indicator,Char,Cond
ADEG,AVISIT,Analysis Visit,Char,Req
ADEG,AVISITN,Analysis Visit (N),Num,Req
ADEG,ADT,Analysis Date,Num,Req
ADEG,ADY,Analysis Relative Day,Num,Cond
ADEG,ATPT,Analysis Timepoint,Char,Cond
ADEG,ATPTN,Analysis Timepoint (N),Num,Cond
ADEG,DTYPE,Derivation Type,Char,Cond
ADEG,SAFFL,Safety Population Flag,Char,Req
ADEG,ONTRTFL,On Treatment Record Flag,Char,Cond
ADEG,EGSEQ,Sequence Number,Num,Cond
ADEG,EGTESTCD,ECG Test Code,Char,Cond
ADMH,STUDYID,Study Identifier,Char,Req
ADMH,USUBJID,Unique Subject Identifier,Char,Req
ADMH,TRTA,Actual Treatment,Char,Req
ADMH,TRTAN,Actual Treatment (N),Num,Req
ADMH,MHTERM,Reported Term for Medical History,Char,Req
ADMH,MHDECOD,Dictionary-Derived Term,Char,Cond
ADMH,MHBODSYS,Body System or Organ Class,Char,Cond
ADMH,MHCAT,Category,Char,Cond
ADMH,MHSCAT,Subcategory,Char,Cond
ADMH,ASTDT,Analysis Start Date,Num,Cond
ADMH,AENDT,Analysis End Date,Num,Cond
ADMH,ASTDTF,Analysis Start Date Imputation Flag,Char,Cond
ADMH,AENDTF,Analysis End Date Imputation Flag,Char,Cond
ADMH,AREL,Analysis Relatedness to Treatment,Char,Cond
ADMH,SAFFL,Safety Population Flag,Char,Req
ADMH,MHSEQ,Sequence Number,Num,Cond
ADMH,AGE,Age,Num,Cond
ADMH,SEX,Sex,Char,Cond
ADMH,RACE,Race,Char,Cond
ADEX,STUDYID,Study Identifier,Char,Req
ADEX,USUBJID,Unique Subject Identifier,Char,Req
ADEX,TRTA,Actual Treatment,Char,Req
ADEX,TRTAN,Actual Treatment (N),Num,Req
ADEX,PARAMCD,Parameter Code,Char,Req
ADEX,PARAM,Parameter,Char,Req
ADEX,PARAMN,Parameter (N),Num,Cond
ADEX,PARCAT1,Parameter Category 1,Char,Cond
ADEX,AVAL,Analysis Value,Num,Req
ADEX,AVALC,Analysis Value (C),Char,Cond
ADEX,ASTDT,Analysis Start Date,Num,Cond
ADEX,AENDT,Analysis End Date,Num,Cond
ADEX,ASTDY,Analysis Start Relative Day,Num,Cond
ADEX,AENDY,Analysis End Relative Day,Num,Cond
ADEX,ADURN,Analysis Duration (N),Num,Cond
ADEX,ADURU,Analysis Duration Units,Char,Cond
ADEX,ABLFL,Baseline Record Flag,Char,Cond
ADEX,AVISIT,Analysis Visit,Char,Cond
ADEX,AVISITN,Analysis Visit (N),Num,Cond
ADEX,ADT,Analysis Date,Num,Cond
ADEX,SAFFL,Safety Population Flag,Char,Req
ADEX,EXSEQ,Sequence Number,Num,Cond
ADEX,EXDOSE,Dose per Administration,Num,Cond
ADEX,EXDOSU,Dose Units,Char,Cond
ADPC,STUDYID,Study Identifier,Char,Req
ADPC,USUBJID,Unique Subject Identifier,Char,Req
ADPC,TRTA,Actual Treatment,Char,Req
ADPC,TRTAN,Actual Treatment (N),Num,Req
ADPC,PARAMCD,Parameter Code,Char,Req
ADPC,PARAM,Parameter,Char,Req
ADPC,PARAMN,Parameter (N),Num,Cond
ADPC,PARCAT1,Parameter Category 1,Char,Cond
ADPC,AVAL,Analysis Value,Num,Req
ADPC,AVALC,Analysis Value (C),Char,Cond
ADPC,AVALU,Analysis Value Unit,Char,Cond
ADPC,ABLFL,Baseline Record Flag,Char,Cond
ADPC,AVISIT,Analysis Visit,Char,Cond
ADPC,AVISITN,Analysis Visit (N),Num,Cond
ADPC,ADT,Analysis Date,Num,Cond
ADPC,ATM,Analysis Time,Char,Cond
ADPC,ADTM,Analysis Datetime,Num,Cond
ADPC,ATPT,Analysis Timepoint,Char,Cond
ADPC,ATPTN,Analysis Timepoint (N),Num,Cond
ADPC,ARRLT,Actual Relative Time from Ref Dose,Num,Cond
ADPC,NRRLT,Nominal Relative Time from Ref Dose,Num,Cond
ADPC,PCTPT,Planned Time Point,Char,Cond
ADPC,PCTPTNUM,Planned Time Point (N),Num,Cond
ADPC,PCSPEC,Specimen Material Type,Char,Cond
ADPC,SAFFL,Safety Population Flag,Char,Req
ADPC,PKFL,PK Concentration Flag,Char,Cond
ADPC,PPFL,PK Parameter Flag,Char,Cond
ADPC,DTYPE,Derivation Type,Char,Cond
ADPC,AFRLT,Actual Relative Time from First Dose,Num,Cond
ADPC,NFRLT,Nominal Relative Time from First Dose,Num,Cond
ADPP,STUDYID,Study Identifier,Char,Req
ADPP,USUBJID,Unique Subject Identifier,Char,Req
ADPP,TRTA,Actual Treatment,Char,Req
ADPP,TRTAN,Actual Treatment (N),Num,Req
ADPP,PARAMCD,Parameter Code,Char,Req
ADPP,PARAM,Parameter,Char,Req
ADPP,PARAMN,Parameter (N),Num,Cond
ADPP,PARCAT1,Parameter Category 1,Char,Cond
ADPP,AVAL,Analysis Value,Num,Req
ADPP,AVALC,Analysis Value (C),Char,Cond
ADPP,AVALU,Analysis Value Unit,Char,Cond
ADPP,ABLFL,Baseline Record Flag,Char,Cond
ADPP,AVISIT,Analysis Visit,Char,Cond
ADPP,AVISITN,Analysis Visit (N),Num,Cond
ADPP,ADT,Analysis Date,Num,Cond
ADPP,SAFFL,Safety Population Flag,Char,Req
ADPP,PKFL,PK Concentration Flag,Char,Cond
ADPP,PPFL,PK Parameter Flag,Char,Cond
ADPP,PPSPEC,Specimen Material Type,Char,Cond
ADPP,PPCAT,Parameter Category,Char,Cond
ADPP,PPRFDTC,Reference Dose Date/Time,Char,Cond
ADPP,DTYPE,Derivation Type,Char,Cond
ADRS,STUDYID,Study Identifier,Char,Req
ADRS,USUBJID,Unique Subject Identifier,Char,Req
ADRS,TRTA,Actual Treatment,Char,Req
ADRS,TRTAN,Actual Treatment (N),Num,Req
ADRS,PARAMCD,Parameter Code,Char,Req
ADRS,PARAM,Parameter,Char,Req
ADRS,PARAMN,Parameter (N),Num,Cond
ADRS,PARCAT1,Parameter Category 1,Char,Cond
ADRS,AVAL,Analysis Value,Num,Req
ADRS,AVALC,Analysis Value (C),Char,Cond
ADRS,ABLFL,Baseline Record Flag,Char,Cond
ADRS,BASE,Baseline Value,Num,Cond
ADRS,BASEC,Baseline Value (C),Char,Cond
ADRS,CHG,Change from Baseline,Num,Cond
ADRS,PCHG,Percent Change from Baseline,Num,Cond
ADRS,AVISIT,Analysis Visit,Char,Cond
ADRS,AVISITN,Analysis Visit (N),Num,Cond
ADRS,ADT,Analysis Date,Num,Cond
ADRS,ADTF,Analysis Date Imputation Flag,Char,Cond
ADRS,AENDT,Analysis End Date,Num,Cond
ADRS,AENDTF,Analysis End Date Imputation Flag,Char,Cond
ADRS,DTYPE,Derivation Type,Char,Cond
ADRS,ANL01FL,Analysis Record Flag 01,Char,Cond
ADRS,CRIT1,Analysis Criterion 1,Char,Cond
ADRS,CRIT1FL,Criterion 1 Evaluation Result Flag,Char,Cond
ADRS,SAFFL,Safety Population Flag,Char,Req
ADRS,ITTFL,Intent-to-Treat Population Flag,Char,Req
ADRS,EFFFL,Efficacy Population Flag,Char,Cond
ADRS,RSSEQ,Sequence Number,Num,Cond
ADTR,STUDYID,Study Identifier,Char,Req
ADTR,USUBJID,Unique Subject Identifier,Char,Req
ADTR,TRTA,Actual Treatment,Char,Req
ADTR,TRTAN,Actual Treatment (N),Num,Req
ADTR,PARAMCD,Parameter Code,Char,Req
ADTR,PARAM,Parameter,Char,Req
ADTR,PARAMN,Parameter (N),Num,Cond
ADTR,PARCAT1,Parameter Category 1,Char,Cond
ADTR,AVAL,Analysis Value,Num,Req
ADTR,AVALC,Analysis Value (C),Char,Cond
ADTR,ABLFL,Baseline Record Flag,Char,Cond
ADTR,BASE,Baseline Value,Num,Cond
ADTR,CHG,Change from Baseline,Num,Cond
ADTR,PCHG,Percent Change from Baseline,Num,Cond
ADTR,AVISIT,Analysis Visit,Char,Cond
ADTR,AVISITN,Analysis Visit (N),Num,Cond
ADTR,ADT,Analysis Date,Num,Cond
ADTR,ADTF,Analysis Date Imputation Flag,Char,Cond
ADTR,DTYPE,Derivation Type,Char,Cond
ADTR,ANL01FL,Analysis Record Flag 01,Char,Cond
ADTR,SAFFL,Safety Population Flag,Char,Req
ADTR,ITTFL,Intent-to-Treat Population Flag,Char,Req
ADTR,EFFFL,Efficacy Population Flag,Char,Cond
ADTR,TRGRPID,Tumor Group ID,Char,Cond
ADTR,TRLNKID,Tumor Link ID,Char,Cond
ADTR,TRSEQ,Sequence Number,Num,Cond
