domain,variable,label,type,core,min_ig_version
EX,EXDOSE,Dose per Administration,Num,Exp,3.3
EX,EXDOSU,Dose Units,Char,Exp,3.3
EX,EXDOSFRM,Dose Form,Char,Exp,3.3
EX,EXDOSFRQ,Dosing Frequency per Interval,Char,Perm,3.3
EX,EXROUTE,Route of Administration,Char,Exp,3.3
EX,EXSTDTC,Start Date/Time of Treatment,Char,Exp,3.3
EX,EXENDTC,End Date/Time of Treatment,Char,Exp,3.3
EX,EXSTDY,Study Day of Start of Treatment,Num,Perm,3.3
EX,EXENDY,Study Day of End of Treatment,Num,Perm,3.3
EX,EPOCH,Epoch,Char,Perm,3.3
EX,VISITNUM,Visit Number,Num,Perm,3.3
EX,VISIT,Visit Name,Char,Perm,3.3
CM,STUDYID,Study Identifier,Char,Req,3.3
CM,DOMAIN,Domain Abbreviation,Char,Req,3.3
CM,USUBJID,Unique Subject Identifier,Char,Req,3.3
CM,CMSEQ,Concomitant Medication Sequence Number,Num,Req,3.3
CM,CMTRT,"Reported Name of Drug, Med, or Therapy",Char,Req,3.3
CM,CMDECOD,Standardized Medication Name,Char,Exp,3.3
CM,CMCAT,Category for Medication,Char,Perm,3.3
CM,CMDOSE,Dose per Administration,Num,Perm,3.3
CM,CMDOSU,Dose Units,Char,Perm,3.3
CM,CMDOSFRM,Dose Form,Char,Perm,3.3
CM,CMROUTE,Route of Administration,Char,Perm,3.3
CM,CMSTDTC,Start Date/Time of Medication,Char,Exp,3.3
CM,CMENDTC,End Date/Time of Medication,Char,Exp,3.3
CM,CMINDC,Indication,Char,Perm,3.3
CM,CMCLAS,Medication Class,Char,Perm,3.3
CM,CMCLASCD,Medication Class Code,Char,Perm,3.3
CM,CMENRF,End Relative to Reference Period,Char,Perm,3.3
CM,CMSTRF,Start Relative to Reference Period,Char,Perm,3.3
CM,EPOCH,Epoch,Char,Perm,3.3
MH,STUDYID,Study Identifier,Char,Req,3.3
MH,DOMAIN,Domain Abbreviation,Char,Req,3.3
MH,USUBJID,Unique Subject Identifier,Char,Req,3.3
MH,MHSEQ,Medical History Sequence Number,Num,Req,3.3
MH,MHTERM,Reported Term for the Medical History,Char,Req,3.3
MH,MHDECOD,Dictionary-Derived Term,Char,Exp,3.3
MH,MHBODSYS,Body System or Organ Class,Char,Exp,3.3
MH,MHCAT,Category for Medical History,Char,Perm,3.3
MH,MHSTDTC,Start Date/Time of History,Char,Exp,3.3
MH,MHENDTC,End Date/Time of History,Char,Perm,3.3
MH,MHENRF,End Relative to Reference Period,Char,Perm,3.3
MH,MHSTRF,Start Relative to Reference Period,Char,Perm,3.3
DS,STUDYID,Study Identifier,Char,Req,3.3
DS,DOMAIN,Domain Abbreviation,Char,Req,3.3
DS,USUBJID,Unique Subject Identifier,Char,Req,3.3
DS,DSSEQ,Disposition Sequence Number,Num,Req,3.3
DS,DSTERM,Reported Term for the Disposition Event,Char,Req,3.3
DS,DSDECOD,Standardized Disposition Term,Char,Req,3.3
DS,DSCAT,Category for Disposition Event,Char,Exp,3.3
DS,DSSTDTC,Start Date/Time of Disposition Event,Char,Exp,3.3
DS,EPOCH,Epoch,Char,Perm,3.3
DS,DSSCAT,Subcategory for Disposition Event,Char,Perm,3.3
SV,STUDYID,Study Identifier,Char,Req,3.3
SV,DOMAIN,Domain Abbreviation,Char,Req,3.3
SV,USUBJID,Unique Subject Identifier,Char,Req,3.3
SV,VISITNUM,Visit Number,Num,Req,3.3
SV,VISIT,Visit Name,Char,Exp,3.3
SV,SVSTDTC,Start Date/Time of Visit,Char,Exp,3.3
SV,SVENDTC,End Date/Time of Visit,Char,Exp,3.3
SV,EPOCH,Epoch,Char,Perm,3.3
TA,STUDYID,Study Identifier,Char,Req,3.3
TA,DOMAIN,Domain Abbreviation,Char,Req,3.3
TA,ARMCD,Coded Arm,Char,Req,3.3
TA,ARM,Description of Arm,Char,Req,3.3
TA,TAESSION,Planned Sequence Number within Arm,Num,Req,3.3
TA,ETCD,Element Code,Char,Req,3.3
TA,ELEMENT,Description of Element,Char,Exp,3.3
TA,TABESSION,TABRANCH + Epoch,Char,Perm,3.3
TA,TATRANS,Transition Rule,Char,Perm,3.3
TA,EPOCH,Epoch,Char,Req,3.3
TE,STUDYID,Study Identifier,Char,Req,3.3
TE,DOMAIN,Domain Abbreviation,Char,Req,3.3
TE,ETCD,Element Code,Char,Req,3.3
TE,ELEMENT,Description of Element,Char,Req,3.3
TE,TESTRL,Rule for End of Element,Char,Perm,3.3
TE,TEDUR,Planned Duration of Element,Char,Perm,3.3
TI,STUDYID,Study Identifier,Char,Req,3.3
TI,DOMAIN,Domain Abbreviation,Char,Req,3.3
TI,IETESTCD,Incl/Excl Criterion Short Name,Char,Req,3.3
TI,IETEST,Incl/Excl Criterion,Char,Req,3.3
TI,IECAT,Incl/Excl Category,Char,Req,3.3
TI,IESCAT,Incl/Excl Subcategory,Char,Perm,3.3
TI,TIRL,Criterion Rule,Char,Perm,3.3
TI,TIVERS,Protocol Criteria Versions,Char,Perm,3.3
TS,STUDYID,Study Identifier,Char,Req,3.3
TS,DOMAIN,Domain Abbreviation,Char,Req,3.3
TS,TSSEQ,Sequence Number,Num,Req,3.3
TS,TSGRPID,Group ID,Char,Perm,3.3
TS,TSPARMCD,Trial Summary Parameter Short Name,Char,Req,3.3
TS,TSPARM,Trial Summary Parameter,Char,Req,3.3
TS,TSVAL,Parameter Value,Char,Req,3.3
TS,TSVALNF,Parameter Null Flavor,Char,Perm,3.3
TS,TSVALCD,Parameter Value Code,Char,Perm,3.3
TS,TSVCDREF,Name of Reference Terminology,Char,Perm,3.3
TS,TSVCDVER,Version of Reference Terminology,Char,Perm,3.3
TV,STUDYID,Study Identifier,Char,Req,3.3
TV,DOMAIN,Domain Abbreviation,Char,Req,3.3
TV,VISITNUM,Visit Number,Num,Req,3.3
TV,VISIT,Visit Name,Char,Req,3.3
TV,TVSTRL,Rule for Visit Start,Char,Perm,3.3
TV,TVCLRID,Trial Criteria ID,Char,Perm,3.3
TV,ARMCD,Planned Arm Code,Char,Req,3.3
TV,ARM,Description of Planned Arm,Char,Req,3.3
TV,EPOCH,Epoch,Char,Perm,3.3
CO,STUDYID,Study Identifier,Char,Req,3.3
CO,DOMAIN,Domain Abbreviation,Char,Req,3.3
CO,RDOMAIN,Related Domain Abbreviation,Char,Exp,3.3
CO,USUBJID,Unique Subject Identifier,Char,Exp,3.3
CO,COSEQ,Sequence Number,Num,Req,3.3
CO,IDVAR,Identifying Variable,Char,Perm,3.3
CO,IDVARVAL,Identifying Variable Value,Char,Perm,3.3
CO,COREF,Comment Reference,Char,Perm,3.3
CO,CODTC,Date/Time of Comment,Char,Perm,3.3
CO,COVAL,Comment,Char,Req,3.3
CO,COEVAL,Evaluator,Char,Perm,3.3
SE,STUDYID,Study Identifier,Char,Req,3.3
SE,DOMAIN,Domain Abbreviation,Char,Req,3.3
SE,USUBJID,Unique Subject Identifier,Char,Req,3.3
SE,SESEQ,Sequence Number,Num,Req,3.3
SE,ETCD,Element Code,Char,Req,3.3
SE,ELEMENT,Description of Element,Char,Exp,3.3
SE,SESTDTC,Start Date/Time of Element,Char,Exp,3.3
SE,SEENDTC,End Date/Time of Element,Char,Exp,3.3
SE,TAESSION,Planned Sequence Number within Arm,Num,Perm,3.3
SE,EPOCH,Epoch,Char,Perm,3.3
SE,SEUPDES,Description of Unplanned Element,Char,Perm,3.3
CE,STUDYID,Study Identifier,Char,Req,3.3
CE,DOMAIN,Domain Abbreviation,Char,Req,3.3
CE,USUBJID,Unique Subject Identifier,Char,Req,3.3
CE,CESEQ,Sequence Number,Num,Req,3.3
CE,CEGRPID,Group ID,Char,Perm,3.3
CE,CETERM,Reported Term for Clinical Event,Char,Req,3.3
CE,CEDECOD,Dictionary-Derived Term,Char,Exp,3.3
CE,CECAT,Category for Clinical Event,Char,Perm,3.3
CE,CESCAT,Subcategory for Clinical Event,Char,Perm,3.3
CE,CEPRESP,Pre-Specified,Char,Perm,3.3
CE,CEOCCUR,Occurrence,Char,Perm,3.3
CE,CESTDTC,Start Date/Time of Clinical Event,Char,Exp,3.3
CE,CEENDTC,End Date/Time of Clinical Event,Char,Exp,3.3
CE,CESTDY,Study Day of Start,Num,Perm,3.3
CE,CEENDY,Study Day of End,Num,Perm,3.3
CE,EPOCH,Epoch,Char,Perm,3.3
DV,STUDYID,Study Identifier,Char,Req,3.3
DV,DOMAIN,Domain Abbreviation,Char,Req,3.3
DV,USUBJID,Unique Subject Identifier,Char,Req,3.3
DV,DVSEQ,Sequence Number,Num,Req,3.3
DV,DVTERM,Protocol Deviation Term,Char,Req,3.3
DV,DVDECOD,Dictionary-Derived Term,Char,Perm,3.3
DV,DVCAT,Category for Protocol Deviation,Char,Perm,3.3
DV,DVSCAT,Subcategory for Protocol Deviation,Char,Perm,3.3
DV,DVSTDTC,Start Date/Time of Deviation,Char,Exp,3.3
DV,DVENDTC,End Date/Time of Deviation,Char,Perm,3.3
DV,DVSTDY,Study Day of Start of Deviation,Num,Perm,3.3
DV,DVENDY,Study Day of End of Deviation,Num,Perm,3.3
DV,EPOCH,Epoch,Char,Perm,3.3
HO,STUDYID,Study Identifier,Char,Req,3.3
HO,DOMAIN,Domain Abbreviation,Char,Req,3.3
HO,USUBJID,Unique Subject Identifier,Char,Req,3.3
HO,HOSEQ,Sequence Number,Num,Req,3.3
HO,HOTERM,Reported Term for Healthcare Encounter,Char,Req,3.3
HO,HODECOD,Dictionary-Derived Term,Char,Perm,3.3
HO,HOCAT,Category,Char,Perm,3.3
HO,HOSCAT,Subcategory,Char,Perm,3.3
HO,HOPRESP,Pre-Specified,Char,Perm,3.3
HO,HOOCCUR,Occurrence,Char,Perm,3.3
HO,HOSTDTC,Start Date/Time,Char,Exp,3.3
HO,HOENDTC,End Date/Time,Char,Perm,3.3
HO,HOSTDY,Study Day of Start,Num,Perm,3.3
HO,HOENDY,Study Day of End,Num,Perm,3.3
HO,EPOCH,Epoch,Char,Perm,3.3
EC,STUDYID,Study Identifier,Char,Req,3.3
EC,DOMAIN,Domain Abbreviation,Char,Req,3.3
EC,USUBJID,Unique Subject Identifier,Char,Req,3.3
EC,ECSEQ,Sequence Number,Num,Req,3.3
EC,ECTRT,Name of Treatment,Char,Req,3.3
EC,ECDOSE,Dose,Num,Exp,3.3
EC,ECDOSU,Dose Units,Char,Exp,3.3
EC,ECDOSFRM,Dose Form,Char,Exp,3.3
EC,ECDOSFRQ,Dosing Frequency per Interval,Char,Perm,3.3
EC,ECROUTE,Route of Administration,Char,Exp,3.3
EC,ECSTDTC,Start Date/Time of Treatment,Char,Exp,3.3
EC,ECENDTC,End Date/Time of Treatment,Char,Exp,3.3
EC,ECSTDY,Study Day of Start,Num,Perm,3.3
EC,ECENDY,Study Day of End,Num,Perm,3.3
EC,ECMOOD,Record Mood,Char,Perm,3.3
EC,EPOCH,Epoch,Char,Perm,3.3
EC,VISITNUM,Visit Number,Num,Perm,3.3
EC,VISIT,Visit Name,Char,Perm,3.3
PR,STUDYID,Study Identifier,Char,Req,3.3
PR,DOMAIN,Domain Abbreviation,Char,Req,3.3
PR,USUBJID,Unique Subject Identifier,Char,Req,3.3
PR,PRSEQ,Sequence Number,Num,Req,3.3
PR,PRTRT,Reported Name of Procedure,Char,Req,3.3
PR,PRDECOD,Standardized Procedure Name,Char,Perm,3.3
PR,PRCAT,Category for Procedure,Char,Perm,3.3
PR,PRSCAT,Subcategory for Procedure,Char,Perm,3.3
PR,PRINDC,Procedure Indication,Char,Perm,3.3
PR,PRSTDTC,Start Date/Time of Procedure,Char,Exp,3.3
PR,PRENDTC,End Date/Time of Procedure,Char,Perm,3.3
PR,PRSTDY,Study Day of Start,Num,Perm,3.3
PR,PRENDY,Study Day of End,Num,Perm,3.3
PR,EPOCH,Epoch,Char,Perm,3.3
SU,STUDYID,Study Identifier,Char,Req,3.3
SU,DOMAIN,Domain Abbreviation,Char,Req,3.3
SU,USUBJID,Unique Subject Identifier,Char,Req,3.3
SU,SUSEQ,Sequence Number,Num,Req,3.3
SU,SUTRT,Reported Name of Substance,Char,Req,3.3
SU,SUDECOD,Standardized Substance Name,Char,Perm,3.3
SU,SUCAT,Category of Substance,Char,Perm,3.3
SU,SUSCAT,Subcategory of Substance,Char,Perm,3.3
SU,SUDOSE,Substance Use Consumption,Num,Perm,3.3
SU,SUDOSU,Consumption Units,Char,Perm,3.3
SU,SUDOSFRQ,Use Frequency per Interval,Char,Perm,3.3
SU,SUROUTE,Route of Administration,Char,Perm,3.3
SU,SUSTDTC,Start Date/Time,Char,Exp,3.3
SU,SUENDTC,End Date/Time,Char,Perm,3.3
SU,SUSTDY,Study Day of Start,Num,Perm,3.3
SU,SUENDY,Study Day of End,Num,Perm,3.3
SU,SUENRF,End Relative to Reference Period,Char,Perm,3.3
SU,SUSTRF,Start Relative to Reference Period,Char,Perm,3.3
SU,EPOCH,Epoch,Char,Perm,3.3
DA,STUDYID,Study Identifier,Char,Req,3.3
DA,DOMAIN,Domain Abbreviation,Char,Req,3.3
DA,USUBJID,Unique Subject Identifier,Char,Req,3.3
DA,DASEQ,Sequence Number,Num,Req,3.3
DA,DATESTCD,Drug Accountability Test Short Name,Char,Req,3.3
DA,DATEST,Drug Accountability Test Name,Char,Req,3.3
DA,DACAT,Category,Char,Perm,3.3
DA,DASCAT,Subcategory,Char,Perm,3.3
DA,DAORRES,Result or Finding in Original Units,Char,Exp,3.3
DA,DAORRESU,Original Units,Char,Exp,3.3
DA,DASTRESC,Character Result/Finding in Std Format,Char,Exp,3.3
DA,DASTRESN,Numeric Result/Finding in Std Units,Num,Exp,3.3
DA,DASTRESU,Standard Units,Char,Exp,3.3
DA,DADTC,Date/Time of Collection,Char,Exp,3.3
DA,DADY,Study Day of Collection,Num,Perm,3.3
DA,EPOCH,Epoch,Char,Perm,3.3
DD,STUDYID,Study Identifier,Char,Req,3.3
DD,DOMAIN,Domain Abbreviation,Char,Req,3.3
DD,USUBJID,Unique Subject Identifier,Char,Req,3.3
DD,DDSEQ,Sequence Number,Num,Req,3.3
DD,DDTESTCD,Death Detail Assessment Short Name,Char,Req,3.3
DD,DDTEST,Death Detail Assessment Name,Char,Req,3.3
DD,DDORRES,Result or Finding in Original Units,Char,Exp,3.3
DD,DDORRESU,Original Units,Char,Perm,3.3
DD,DDSTRESC,Character Result/Finding in Std Format,Char,Exp,3.3
DD,DDSTRESN,Numeric Result/Finding in Std Units,Num,Perm,3.3
DD,DDSTRESU,Standard Units,Char,Perm,3.3
DD,DDDTC,Date/Time of Assessment,Char,Exp,3.3
DD,DDDY,Study Day of Assessment,Num,Perm,3.3
EG,STUDYID,Study Identifier,Char,Req,3.3
EG,DOMAIN,Domain Abbreviation,Char,Req,3.3
EG,USUBJID,Unique Subject Identifier,Char,Req,3.3
EG,EGSEQ,ECG Sequence Number,Num,Req,3.3
EG,EGTESTCD,ECG Test Short Name,Char,Req,3.3
EG,EGTEST,ECG Test Name,Char,Req,3.3
EG,EGCAT,Category for ECG,Char,Perm,3.3
EG,EGPOS,ECG Position of Subject,Char,Perm,3.3
EG,EGORRES,Result or Finding in Original Units,Char,Exp,3.3
EG,EGORRESU,Original Units,Char,Exp,3.3
EG,EGSTRESC,Character Result/Finding in Std Format,Char,Exp,3.3
EG,EGSTRESN,Numeric Result/Finding in Std Units,Num,Exp,3.3
EG,EGSTRESU,Standard Units,Char,Exp,3.3
EG,EGBLFL,Baseline Flag,Char,Perm,3.3
EG,EGDTC,Date/Time of ECG,Char,Exp,3.3
EG,EGDY,Study Day of ECG,Num,Perm,3.3
EG,EGTPT,Planned Time Point Name,Char,Perm,3.3
EG,EGTPTNUM,Planned Time Point Number,Num,Perm,3.3
EG,EGELTM,Planned Elapsed Time from Time Point Ref,Char,Perm,3.3
EG,VISITNUM,Visit Number,Num,Exp,3.3
EG,VISIT,Visit Name,Char,Exp,3.3
EG,EPOCH,Epoch,Char,Perm,3.3
FA,STUDYID,Study Identifier,Char,Req,3.3
FA,DOMAIN,Domain Abbreviation,Char,Req,3.3
FA,USUBJID,Unique Subject Identifier,Char,Req,3.3
FA,FASEQ,Sequence Number,Num,Req,3.3
FA,FATESTCD,Findings About Test Short Name,Char,Req,3.3
FA,FATEST,Findings About Test Name,Char,Req,3.3
FA,FACAT,Category,Char,Perm,3.3
FA,FASCAT,Subcategory,Char,Perm,3.3
FA,FAOBJ,Object of the Observation,Char,Req,3.3
FA,FAORRES,Result or Finding in Original Units,Char,Exp,3.3
FA,FAORRESU,Original Units,Char,Perm,3.3
FA,FASTRESC,Character Result/Finding in Std Format,Char,Exp,3.3
FA,FASTRESN,Numeric Result/Finding in Std Units,Num,Perm,3.3
FA,FASTRESU,Standard Units,Char,Perm,3.3
FA,FADTC,Date/Time of Collection,Char,Exp,3.3
FA,FADY,Study Day of Collection,Num,Perm,3.3
FA,EPOCH,Epoch,Char,Perm,3.3
FA,FALNKID,Link ID,Char,Perm,3.3
IE,STUDYID,Study Identifier,Char,Req,3.3
IE,DOMAIN,Domain Abbreviation,Char,Req,3.3
IE,USUBJID,Unique Subject Identifier,Char,Req,3.3
IE,IESEQ,Sequence Number,Num,Req,3.3
IE,IETESTCD,Incl/Excl Criterion Short Name,Char,Req,3.3
IE,IETEST,Incl/Excl Criterion,Char,Req,3.3
IE,IECAT,Incl/Excl Category,Char,Req,3.3
IE,IESCAT,Incl/Excl Subcategory,Char,Perm,3.3
IE,IEORRES,Incl/Excl Criterion Original Result,Char,Exp,3.3
IE,IESTRESC,Char Result/Finding in Std Format,Char,Exp,3.3
IE,IEDTC,Date/Time of Assessment,Char,Exp,3.3
IE,IEDY,Study Day of Assessment,Num,Perm,3.3
IE,EPOCH,Epoch,Char,Perm,3.3
MB,STUDYID,Study Identifier,Char,Req,3.3
MB,DOMAIN,Domain Abbreviation,Char,Req,3.3
MB,USUBJID,Unique Subject Identifier,Char,Req,3.3
MB,MBSEQ,Sequence Number,Num,Req,3.3
MB,MBTESTCD,Microbiology Test Short Name,Char,Req,3.3
MB,MBTEST,Microbiology Test Name,Char,Req,3.3
MB,MBCAT,Category,Char,Perm,3.3
MB,MBSCAT,Subcategory,Char,Perm,3.3
MB,MBORRES,Result in Original Units,Char,Exp,3.3
MB,MBORRESU,Original Units,Char,Exp,3.3
MB,MBSTRESC,Character Result in Std Format,Char,Exp,3.3
MB,MBSTRESN,Numeric Result in Std Units,Num,Perm,3.3
MB,MBSTRESU,Standard Units,Char,Perm,3.3
MB,MBSPEC,Specimen Type,Char,Exp,3.3
MB,MBMETHOD,Method of Test,Char,Perm,3.3
MB,MBBLFL,Baseline Flag,Char,Perm,3.3
MB,MBDTC,Date/Time of Collection,Char,Exp,3.3
MB,MBDY,Study Day of Collection,Num,Perm,3.3
MB,VISITNUM,Visit Number,Num,Exp,3.3
MB,VISIT,Visit Name,Char,Exp,3.3
MB,EPOCH,Epoch,Char,Perm,3.3
MI,STUDYID,Study Identifier,Char,Req,3.3
MI,DOMAIN,Domain Abbreviation,Char,Req,3.3
MI,USUBJID,Unique Subject Identifier,Char,Req,3.3
MI,MISEQ,Sequence Number,Num,Req,3.3
MI,MITESTCD,Microscopic Test Short Name,Char,Req,3.3
MI,MITEST,Microscopic Test Name,Char,Req,3.3
MI,MICAT,Category,Char,Perm,3.3
MI,MISCAT,Subcategory,Char,Perm,3.3
MI,MIORRES,Result in Original Units,Char,Exp,3.3
MI,MIORRESU,Original Units,Char,Perm,3.3
MI,MISTRESC,Character Result in Std Format,Char,Exp,3.3
MI,MISTRESN,Numeric Result in Std Units,Num,Perm,3.3
MI,MISTRESU,Standard Units,Char,Perm,3.3
MI,MISPEC,Specimen Type,Char,Exp,3.3
MI,MIMETHOD,Method,Char,Perm,3.3
MI,MIDTC,Date/Time of Collection,Char,Exp,3.3
MI,MIDY,Study Day of Collection,Num,Perm,3.3
MI,EPOCH,Epoch,Char,Perm,3.3
MS,STUDYID,Study Identifier,Char,Req,3.3
MS,DOMAIN,Domain Abbreviation,Char,Req,3.3
MS,USUBJID,Unique Subject Identifier,Char,Req,3.3
MS,MSSEQ,Sequence Number,Num,Req,3.3
MS,MSTESTCD,Susceptibility Test Short Name,Char,Req,3.3
MS,MSTEST,Susceptibility Test Name,Char,Req,3.3
MS,MSCAT,Category,Char,Perm,3.3
MS,MSORRES,Result in Original Units,Char,Exp,3.3
MS,MSORRESU,Original Units,Char,Exp,3.3
MS,MSSTRESC,Character Result in Std Format,Char,Exp,3.3
MS,MSSTRESN,Numeric Result in Std Units,Num,Perm,3.3
MS,MSSTRESU,Standard Units,Char,Perm,3.3
MS,MSSPEC,Specimen Type,Char,Exp,3.3
MS,MSDTC,Date/Time of Collection,Char,Exp,3.3
MS,MSDY,Study Day of Collection,Num,Perm,3.3
MS,EPOCH,Epoch,Char,Perm,3.3
PC,STUDYID,Study Identifier,Char,Req,3.3
PC,DOMAIN,Domain Abbreviation,Char,Req,3.3
PC,USUBJID,Unique Subject Identifier,Char,Req,3.3
PC,PCSEQ,Sequence Number,Num,Req,3.3
PC,PCTESTCD,PK Concentration Test Short Name,Char,Req,3.3
PC,PCTEST,PK Concentration Test Name,Char,Req,3.3
PC,PCCAT,Category,Char,Perm,3.3
PC,PCORRES,Result in Original Units,Char,Exp,3.3
PC,PCORRESU,Original Units,Char,Exp,3.3
PC,PCSTRESC,Character Result in Std Format,Char,Exp,3.3
